component,type,name,weight
1,gene,Cre12.g503500,0.0182975849324383
1,gene,Cre12.g507051,0.0035092080306425
1,gene,Cre12.g516450,0.0003942893338612
1,gene,Cre12.g522700,0.0324380526683908
1,gene,Cre12.g529100,0.0195669466644063
1,gene,Cre12.g530050,0.0029302700479448
1,gene,Cre12.g531900,0.5190745255729905
1,gene,Cre12.g535050,0.0256947273268684
1,gene,Cre12.g552600,0.0020862439043707
1,gene,Cre12.g554100,0.0776361359474346
1,gene,Cre12.g554400,0.01048636287543
1,gene,Cre13.g565150,0.3297610646070049
1,gene,Cre13.g580150,0.0348413433108643
1,gene,Cre13.g582476,0.0041380803817361
1,gene,Cre13.g586916,0.0444808289186283
1,gene,Cre13.g587950,0.0033337146299497
1,gene,Cre13.g588959,0.0105450145827349
1,gene,Cre13.g589300,0.0217228732105041
1,gene,Cre13.g589350,0.0170536960640234
1,gene,Cre13.g591501,0.083010828517031
1,gene,Cre13.g592100,0.0261218814917894
1,gene,Cre13.g602700,0.0524267577258037
1,gene,Cre13.g606250,0.0200151105977383
1,gene,Cre13.g607300,0.0831031681970751
1,gene,Cre14.g613652,0.0109413054347791
1,gene,Cre14.g616376,0.0647633151904891
1,gene,Cre14.g626350,0.0040350247279534
1,gene,Cre14.g632750,0.002135414687018
1,gene,Cre15.g635350,0.0167557930052015
1,gene,Cre15.g635376,0.0167557930052015
1,gene,Cre15.g635800,0.0795121769278145
1,gene,Cre16.g648750,0.1753824465582685
1,gene,Cre16.g656950,0.0147161373653044
1,gene,Cre16.g661200,0.0021046022369972
1,gene,Cre16.g667900,0.0167706421505079
1,gene,Cre16.g668250,0.0034361250212431
1,gene,Cre16.g685451,0.0318223673506174
1,gene,Cre16.g688350,0.0633156620263884
1,gene,Cre16.g688750,0.0020963720398092
1,gene,Cre17.g698550,0.0061631712839766
1,gene,Cre17.g704400,0.000855314244046
1,gene,Cre17.g709900,0.0076673762651924
1,gene,Cre17.g710000,0.0083873289121882
1,gene,Cre17.g710300,0.0326320174590755
1,gene,Cre17.g720261,0.0032780900284924
1,gene,Cre17.g723950,0.0152275095727076
1,gene,Cre17.g724450,0.1695840499903931
1,gene,Cre17.g741200,0.0035803378154902
1,gene,Cre17.g744997,0.0218400210357933
1,gene,Cre17.g745097,0.0264229868026277
1,gene,unknown_chrom,0.0085147204558064
2,light_regime,1min-1min,0.0
2,light_regime,30s-30s,0.0
2,light_regime,20h_HL,0.0
2,light_regime,20h_ML,1.0
2,light_regime,2h-2h,0.0
2,light_regime,10min-10min,0.0
2,light_regime,5min-5min,0.0
2,light_regime,1min-5min,0.0
2,gene,Cre01.g003650,0.0119489510799368
2,gene,Cre01.g012150,0.0714036271054112
2,gene,Cre01.g016556,0.051903651666167
2,gene,Cre01.g022650,0.1850544652667299
2,gene,Cre01.g025400,0.0445617988732112
2,gene,Cre01.g038151,0.0684186453973352
2,gene,Cre01.g039550,0.1211803535400968
2,gene,Cre01.g040250,0.0171426984584593
2,gene,Cre02.g089237,0.0743593316372444
2,gene,Cre02.g090100,0.0613164304001893
2,gene,Cre02.g093300,0.1048870067984076
2,gene,Cre02.g095076,0.1582687163288856
2,gene,Cre02.g095081,0.0542231929514596
2,gene,Cre02.g103400,0.0482656686542548
2,gene,Cre02.g119050,0.0645344833024746
2,gene,Cre03.g149250,0.0032499948760121
2,gene,Cre04.g213652,0.0519430906457233
2,gene,Cre04.g214501,0.1433215922836326
2,gene,Cre04.g215150,0.0681970081277197
2,gene,Cre04.g216050,0.209559520925449
2,gene,Cre04.g216850,0.0425700617437966
2,gene,Cre05.g236100,0.1188477911107933
2,gene,Cre05.g245351,0.1732775841991592
2,gene,Cre05.g248250,0.1543408704914129
2,gene,Cre06.g251050,0.1161885212337016
2,gene,Cre06.g256300,0.1332972647188778
